tau,CFC11,CFC12,CFC113,SF6,He4_ter,H3_tu
24931,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24930,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24929,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24928,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24927,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24926,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24925,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24924,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24923,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24922,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24921,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24920,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24919,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24918,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24917,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24916,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24915,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24914,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24913,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24912,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24911,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24910,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24909,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24908,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24907,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24906,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24905,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24904,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24903,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24902,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24901,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24900,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24899,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24898,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24897,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24896,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24895,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24894,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24893,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24892,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24891,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24890,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24889,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24888,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24887,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24886,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24885,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24884,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24883,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24882,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24881,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24880,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24879,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24878,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24877,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24876,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24875,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24874,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24873,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24872,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24871,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24870,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24869,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24868,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24867,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24866,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24865,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24864,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24863,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24862,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
24861,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
